RCId,Cid,OrderTime,ScheduleTime,OrderStatus,score,id
2029,3126,2021-07-25 08:16:42.342682,"{'2021-07-27': ['10', '11']}",0,,8067
2029,3051,2021-07-27 08:41:51.329761,"{'2021-08-01': ['12', '15']}",0,,8068
2030,3025,2021-07-11 08:56:43.524305,"{'2021-07-17': ['14', '17']}",0,,8072
2030,3052,2021-07-20 08:23:29.476586,"{'2021-07-27': ['10', '13']}",0,,8074
2030,3043,2021-07-29 12:56:41.855665,"{'2021-08-04': ['14', '15']}",0,,8070
2030,3007,2021-08-13 18:23:27.072275,"{'2021-08-14': ['10', '11']}",0,,8071
2030,3127,2021-08-17 19:40:19.275400,"{'2021-08-24': ['16', '18']}",0,,8073
2031,3019,2021-08-04 16:03:07.106643,"{'2021-08-08': ['13', '16']}",0,,8075
2032,3081,2021-07-13 15:09:39.493167,"{'2021-07-14': ['13', '14']}",0,,8078
2032,3013,2021-07-20 04:24:09.047741,"{'2021-07-27': ['15', '18']}",0,,8076
2032,3152,2021-08-14 11:34:56.597167,"{'2021-08-17': ['18', '21']}",0,,8079
2032,3098,2021-08-15 12:05:54.567529,"{'2021-08-22': ['13', '14']}",0,,8077
2033,3004,2021-07-10 12:00:07.872986,"{'2021-07-13': ['13', '15']}",0,,8080
2033,3007,2021-07-18 19:35:43.540728,"{'2021-07-23': ['16', '17']}",0,,8082
2033,3045,2021-07-20 11:44:41.522227,"{'2021-07-27': ['15', '16']}",0,,8081
2034,3141,2021-07-10 17:58:12.376019,"{'2021-07-13': ['15', '16']}",0,,8085
2034,3134,2021-07-13 13:52:54.866160,"{'2021-07-15': ['13', '16']}",0,,8084
2034,3033,2021-08-15 06:20:05.399293,"{'2021-08-20': ['18', '20']}",0,,8083
2035,3148,2021-07-13 13:41:19.663922,"{'2021-07-18': ['13', '14']}",0,,8088
2035,3070,2021-07-21 13:17:34.815323,"{'2021-07-22': ['18', '21']}",0,,8087
2035,3057,2021-07-24 07:37:31.128883,"{'2021-07-27': ['12', '14']}",0,,8090
2035,3029,2021-07-31 22:00:14.413613,"{'2021-08-01': ['17', '19']}",0,,8086
2035,3013,2021-08-05 02:11:09.218718,"{'2021-08-08': ['13', '16']}",0,,8089
2036,3111,2021-07-20 17:25:09.382320,"{'2021-07-23': ['14', '17']}",0,,8093
2036,3109,2021-07-26 08:07:06.870333,"{'2021-07-31': ['20', '21']}",0,,8092
2036,3100,2021-08-07 01:26:11.130960,"{'2021-08-11': ['19', '22']}",0,,8091
2037,3137,2021-07-03 01:19:07.211874,"{'2021-07-08': ['13', '15']}",0,,8094
2038,3145,2021-07-02 03:47:08.486540,"{'2021-07-03': ['9', '11']}",0,,8097
2038,3078,2021-07-07 01:40:04.746987,"{'2021-07-08': ['16', '18']}",0,,8095
2038,3097,2021-08-06 10:54:12.821278,"{'2021-08-12': ['15', '16']}",0,,8096
2039,3022,2021-07-08 08:14:53.381596,"{'2021-07-14': ['19', '20']}",0,,8098
2040,3121,2021-07-14 07:44:11.527812,"{'2021-07-18': ['18', '20']}",0,,8099
2040,3152,2021-07-21 15:54:41.463172,"{'2021-07-24': ['18', '19']}",0,,8101
2040,3133,2021-08-08 06:11:05.905748,"{'2021-08-15': ['20', '22']}",0,,8100
2040,3055,2021-08-18 08:46:28.100757,"{'2021-08-20': ['14', '17']}",0,,8102
2041,3143,2021-07-23 11:08:53.912501,"{'2021-07-30': ['18', '19']}",0,,8105
2041,3075,2021-08-02 09:23:19.735786,"{'2021-08-09': ['17', '19']}",0,,8106
2041,3107,2021-08-08 20:37:47.292779,"{'2021-08-09': ['20', '22']}",0,,8104
2041,3052,2021-08-19 06:15:20.582308,"{'2021-08-21': ['11', '13']}",0,,8103
2042,3063,2021-07-14 13:27:51.668541,"{'2021-07-21': ['12', '15']}",0,,8109
2042,3009,2021-07-17 18:29:14.927822,"{'2021-07-21': ['20', '21']}",0,,8111
2042,3112,2021-08-14 17:07:34.746914,"{'2021-08-16': ['17', '18']}",0,,8107
2042,3013,2021-08-16 05:35:55.612892,"{'2021-08-21': ['14', '15']}",0,,8110
2042,3084,2021-08-16 21:26:17.090091,"{'2021-08-23': ['13', '15']}",0,,8108
2043,3020,2021-08-08 06:45:42.268629,"{'2021-08-15': ['10', '12']}",0,,8112
2043,3058,2021-08-12 17:26:14.196965,"{'2021-08-14': ['16', '19']}",0,,8115
2043,3028,2021-08-13 22:52:46.643350,"{'2021-08-15': ['15', '17']}",0,,8113
2043,3103,2021-08-19 08:42:38.485902,"{'2021-08-21': ['20', '21']}",0,,8114
2044,3057,2021-07-04 00:55:42.927096,"{'2021-07-07': ['15', '17']}",0,,8116
2045,3060,2021-07-09 16:15:28.204762,"{'2021-07-10': ['18', '20']}",0,,8120
2045,3057,2021-07-23 18:26:58.476126,"{'2021-07-26': ['19', '20']}",0,,8117
2045,3078,2021-08-09 05:23:15.167505,"{'2021-08-16': ['9', '10']}",0,,8119
2045,3049,2021-08-16 04:52:13.844660,"{'2021-08-18': ['13', '15']}",0,,8118
2046,3029,2021-07-05 12:08:36.465747,"{'2021-07-07': ['15', '17']}",0,,8121
2047,3019,2021-07-12 19:10:15.908073,"{'2021-07-14': ['11', '12']}",0,,8123
2047,3125,2021-07-13 22:16:59.256707,"{'2021-07-15': ['10', '13']}",0,,8122
2047,3063,2021-08-15 16:26:17.095985,"{'2021-08-21': ['10', '11']}",0,,8124
2048,3122,2021-07-08 20:34:30.021444,"{'2021-07-14': ['16', '18']}",0,,8127
2048,3040,2021-07-10 22:58:19.368068,"{'2021-07-14': ['16', '17']}",0,,8125
2048,3052,2021-07-31 20:10:54.131956,"{'2021-08-04': ['15', '18']}",0,,8126
2048,3031,2021-08-03 15:00:10.927608,"{'2021-08-10': ['18', '21']}",0,,8128
2049,3013,2021-07-31 16:16:32.569799,"{'2021-08-05': ['13', '14']}",0,,8129
2050,3053,2021-07-16 23:09:38.261851,"{'2021-07-20': ['12', '14']}",0,,8130
2051,3099,2021-07-01 00:28:05.344515,"{'2021-07-06': ['20', '22']}",0,,8132
2051,3133,2021-07-03 15:12:12.787751,"{'2021-07-06': ['16', '19']}",0,,8131
2052,3054,2021-07-08 11:21:15.776967,"{'2021-07-09': ['13', '16']}",0,,8134
2052,3038,2021-07-14 04:30:35.651288,"{'2021-07-18': ['18', '20']}",0,,8135
2052,3051,2021-07-30 06:30:50.759706,"{'2021-08-01': ['19', '22']}",0,,8133
2053,3056,2021-07-18 17:12:44.150335,"{'2021-07-25': ['16', '17']}",0,,8137
2053,3011,2021-07-31 09:30:00.529766,"{'2021-08-06': ['10', '12']}",0,,8136
2054,3027,2021-08-13 05:41:05.768648,"{'2021-08-20': ['12', '15']}",0,,8138
2055,3037,2021-07-02 19:45:08.972647,"{'2021-07-03': ['16', '19']}",0,,8140
2055,3137,2021-08-04 18:25:57.308465,"{'2021-08-09': ['11', '13']}",0,,8141
2055,3055,2021-08-17 00:37:07.954381,"{'2021-08-21': ['19', '21']}",0,,8139
2056,3085,2021-07-28 21:32:22.617979,"{'2021-08-02': ['20', '23']}",0,,8142
2057,3127,2021-07-08 03:38:36.675020,"{'2021-07-14': ['18', '19']}",0,,8145
2057,3003,2021-07-31 13:38:32.071192,"{'2021-08-02': ['16', '18']}",0,,8144
2057,3082,2021-08-06 10:13:16.733499,"{'2021-08-13': ['13', '15']}",0,,8143
2058,3029,2021-07-02 14:01:25.976865,"{'2021-07-07': ['14', '17']}",0,,8147
2058,3010,2021-07-25 20:31:29.025203,"{'2021-07-31': ['18', '19']}",0,,8150
2058,3125,2021-08-04 16:28:13.449824,"{'2021-08-05': ['14', '16']}",0,,8149
2058,3108,2021-08-09 08:22:26.679775,"{'2021-08-13': ['19', '22']}",0,,8148
2058,3067,2021-08-17 03:24:25.539682,"{'2021-08-22': ['17', '18']}",0,,8146
2059,3121,2021-07-04 04:46:49.035927,"{'2021-07-06': ['16', '18']}",0,,8151
2059,3130,2021-07-18 14:47:06.465225,"{'2021-07-21': ['20', '21']}",0,,8152
2059,3128,2021-07-24 02:20:43.162292,"{'2021-07-30': ['10', '11']}",0,,8153
2060,3140,2021-07-11 10:19:57.847378,"{'2021-07-13': ['17', '19']}",0,,8154
2060,3139,2021-07-15 08:46:37.544144,"{'2021-07-19': ['12', '15']}",0,,8155
2061,3062,2021-07-06 09:23:33.879642,"{'2021-07-13': ['15', '17']}",0,,8159
2061,3017,2021-07-24 13:55:13.534841,"{'2021-07-29': ['15', '18']}",0,,8160
2061,3055,2021-08-04 23:26:03.631901,"{'2021-08-07': ['14', '16']}",0,,8156
2061,3106,2021-08-12 10:21:08.569011,"{'2021-08-16': ['12', '13']}",0,,8158
2061,3152,2021-08-17 06:55:09.592125,"{'2021-08-20': ['18', '21']}",0,,8157
2062,3005,2021-07-19 02:54:13.210455,"{'2021-07-25': ['16', '19']}",0,,8161
2062,3067,2021-08-11 07:41:57.078457,"{'2021-08-12': ['20', '21']}",0,,8162
2063,3142,2021-07-19 09:43:30.380994,"{'2021-07-20': ['9', '12']}",0,,8163
2063,3098,2021-07-26 00:28:48.705373,"{'2021-08-02': ['16', '19']}",0,,8164
2063,3001,2021-08-07 03:25:38.253874,"{'2021-08-12': ['11', '14']}",0,,8166
2063,3050,2021-08-13 23:36:39.544709,"{'2021-08-16': ['11', '14']}",0,,8165
2064,3002,2021-07-13 00:41:30.117257,"{'2021-07-19': ['11', '14']}",0,,8168
2064,3013,2021-07-19 01:33:07.779628,"{'2021-07-21': ['17', '19']}",0,,8167
2064,3023,2021-08-12 11:38:14.968730,"{'2021-08-16': ['16', '17']}",0,,8169
2065,3106,2021-07-03 03:17:08.559352,"{'2021-07-08': ['17', '18']}",0,,8170
2065,3111,2021-07-18 17:07:57.655991,"{'2021-07-24': ['11', '13']}",0,,8171
2065,3070,2021-08-04 15:56:22.050924,"{'2021-08-06': ['15', '18']}",0,,8172
2066,3071,2021-07-01 00:57:21.691136,"{'2021-07-06': ['16', '18']}",0,,8177
2066,3040,2021-07-16 06:28:04.065861,"{'2021-07-17': ['11', '14']}",0,,8176
2066,3133,2021-07-19 06:51:48.590756,"{'2021-07-22': ['19', '20']}",0,,8174
2066,3052,2021-08-02 03:43:26.637518,"{'2021-08-04': ['10', '11']}",0,,8175
2066,3028,2021-08-10 01:12:07.105945,"{'2021-08-16': ['20', '21']}",0,,8173
2067,3097,2021-07-22 09:04:04.185253,"{'2021-07-28': ['19', '21']}",0,,8178
2067,3128,2021-07-24 17:50:05.434372,"{'2021-07-28': ['18', '19']}",0,,8179
2068,3079,2021-07-11 13:17:59.648323,"{'2021-07-18': ['15', '16']}",0,,8182
2068,3146,2021-07-21 10:17:13.395951,"{'2021-07-23': ['15', '18']}",0,,8180
2068,3047,2021-07-26 02:25:27.250094,"{'2021-07-30': ['13', '14']}",0,,8181
2069,3011,2021-07-08 02:13:17.088867,"{'2021-07-14': ['13', '15']}",0,,8186
2069,3076,2021-07-15 06:40:48.851050,"{'2021-07-16': ['12', '15']}",0,,8184
2069,3127,2021-07-30 14:01:19.075966,"{'2021-08-05': ['11', '13']}",0,,8185
2069,3140,2021-08-07 00:52:01.605422,"{'2021-08-08': ['18', '20']}",0,,8183
2070,3144,2021-07-14 05:03:48.028007,"{'2021-07-19': ['15', '18']}",0,,8190
2070,3084,2021-07-16 01:26:56.952978,"{'2021-07-20': ['15', '16']}",0,,8188
2070,3139,2021-08-04 18:23:05.544405,"{'2021-08-09': ['18', '19']}",0,,8189
2070,3030,2021-08-17 08:17:04.080096,"{'2021-08-24': ['10', '13']}",0,,8187
2071,3115,2021-07-02 01:47:28.833325,"{'2021-07-06': ['15', '16']}",0,,8191
2071,3003,2021-07-16 19:33:45.003946,"{'2021-07-21': ['14', '17']}",0,,8192
2071,3144,2021-07-17 17:52:53.966317,"{'2021-07-20': ['13', '15']}",0,,8195
2071,3099,2021-07-19 18:31:12.233669,"{'2021-07-22': ['19', '20']}",0,,8193
2071,3038,2021-07-22 12:18:23.472896,"{'2021-07-28': ['12', '14']}",0,,8194
2072,3023,2021-07-05 08:17:13.194504,"{'2021-07-08': ['17', '19']}",0,,8198
2072,3082,2021-07-21 06:08:05.753221,"{'2021-07-26': ['17', '19']}",0,,8199
2072,3084,2021-08-13 03:57:20.162652,"{'2021-08-17': ['10', '11']}",0,,8196
2072,3030,2021-08-19 13:48:13.395755,"{'2021-08-23': ['19', '22']}",0,,8197
2073,3153,2021-07-21 12:59:57.875331,"{'2021-07-22': ['17', '19']}",0,,8201
2073,3061,2021-07-30 08:31:21.921163,"{'2021-07-31': ['16', '18']}",0,,8202
2073,3061,2021-08-19 00:41:27.833127,"{'2021-08-21': ['16', '17']}",0,,8200
2074,3031,2021-07-04 10:19:10.414851,"{'2021-07-10': ['13', '16']}",0,,8205
2074,3149,2021-07-10 20:23:17.313437,"{'2021-07-17': ['20', '23']}",0,,8206
2074,3045,2021-07-21 05:38:48.863029,"{'2021-07-25': ['12', '15']}",0,,8203
2074,3153,2021-08-18 05:37:24.969321,"{'2021-08-21': ['17', '20']}",0,,8204
2075,3081,2021-07-13 11:24:58.316909,"{'2021-07-19': ['15', '16']}",0,,8207
2075,3043,2021-07-18 05:07:41.301399,"{'2021-07-23': ['14', '17']}",0,,8209
2075,3048,2021-07-30 08:10:23.793680,"{'2021-08-03': ['17', '19']}",0,,8208
2076,3039,2021-07-09 00:30:01.646594,"{'2021-07-16': ['12', '15']}",0,,8211
2076,3083,2021-08-01 21:49:45.542749,"{'2021-08-03': ['18', '19']}",0,,8212
2076,3069,2021-08-02 01:03:45.849779,"{'2021-08-04': ['19', '22']}",0,,8213
2076,3045,2021-08-09 17:45:32.582597,"{'2021-08-11': ['13', '14']}",0,,8214
2076,3005,2021-08-19 22:34:05.192635,"{'2021-08-23': ['16', '17']}",0,,8210
2077,3125,2021-07-03 20:11:59.056207,"{'2021-07-05': ['16', '18']}",0,,8219
2077,3136,2021-07-18 00:27:03.355840,"{'2021-07-22': ['17', '18']}",0,,8217
2077,3065,2021-07-28 17:12:00.037883,"{'2021-07-29': ['9', '12']}",0,,8215
2077,3020,2021-08-17 18:10:33.922670,"{'2021-08-23': ['15', '16']}",0,,8216
2077,3074,2021-08-18 15:07:06.135185,"{'2021-08-22': ['19', '22']}",0,,8218
2078,3145,2021-07-06 07:47:07.566655,"{'2021-07-13': ['13', '15']}",0,,8222
2078,3022,2021-07-18 19:05:42.089791,"{'2021-07-24': ['17', '20']}",0,,8220
2078,3147,2021-08-14 08:06:59.789228,"{'2021-08-19': ['14', '16']}",0,,8221
2079,3057,2021-07-14 02:31:27.866911,"{'2021-07-17': ['21', '23']}",0,,8223
2079,3016,2021-07-21 00:42:13.886928,"{'2021-07-28': ['17', '18']}",0,,8224
2079,3094,2021-08-08 03:53:03.845449,"{'2021-08-13': ['11', '13']}",0,,8225
2080,3077,2021-07-18 13:16:30.329773,"{'2021-07-24': ['15', '16']}",0,,8226
2080,3083,2021-08-08 14:48:06.688176,"{'2021-08-15': ['10', '11']}",0,,8228
2080,3118,2021-08-10 18:34:52.965019,"{'2021-08-11': ['20', '22']}",0,,8227
2081,3123,2021-08-09 20:03:05.977807,"{'2021-08-16': ['15', '18']}",0,,8229
2082,3038,2021-07-04 12:04:54.849136,"{'2021-07-10': ['16', '18']}",0,,8230
2083,3095,2021-08-11 19:53:52.190001,"{'2021-08-17': ['20', '22']}",0,,8231
2084,3032,2021-07-19 12:37:39.972071,"{'2021-07-26': ['19', '20']}",0,,8232
2085,3144,2021-07-14 02:50:11.760713,"{'2021-07-17': ['14', '17']}",0,,8235
2085,3057,2021-07-23 19:33:59.195484,"{'2021-07-29': ['18', '20']}",0,,8233
2085,3014,2021-07-30 20:06:12.706942,"{'2021-08-04': ['19', '20']}",0,,8234
2085,3027,2021-08-04 21:04:32.608764,"{'2021-08-05': ['14', '16']}",0,,8236
2086,3080,2021-07-19 21:23:04.604810,"{'2021-07-22': ['10', '11']}",0,,8238
2086,3092,2021-07-22 05:52:06.075357,"{'2021-07-27': ['11', '14']}",0,,8240
2086,3012,2021-07-31 13:30:03.781397,"{'2021-08-02': ['11', '12']}",0,,8237
2086,3143,2021-08-07 21:25:00.069448,"{'2021-08-13': ['10', '13']}",0,,8239
2086,3044,2021-08-15 03:02:15.550118,"{'2021-08-16': ['10', '11']}",0,,8241
2087,3089,2021-07-01 21:22:57.627727,"{'2021-07-05': ['21', '22']}",0,,8244
2087,3061,2021-07-21 05:04:45.607466,"{'2021-07-24': ['15', '18']}",0,,8243
2087,3032,2021-07-25 16:24:01.231297,"{'2021-07-26': ['15', '16']}",0,,8246
2087,3090,2021-08-10 18:39:29.261895,"{'2021-08-16': ['10', '12']}",0,,8245
2087,3031,2021-08-14 08:24:27.284956,"{'2021-08-20': ['10', '13']}",0,,8242
2088,3114,2021-08-01 05:58:30.069247,"{'2021-08-08': ['18', '19']}",0,,8249
2088,3112,2021-08-09 07:18:42.955370,"{'2021-08-14': ['16', '18']}",0,,8247
2088,3136,2021-08-11 00:56:12.407622,"{'2021-08-16': ['13', '15']}",0,,8248
2089,3063,2021-07-06 12:16:58.207493,"{'2021-07-09': ['18', '19']}",0,,8252
2089,3125,2021-07-27 17:31:29.440380,"{'2021-07-29': ['11', '12']}",0,,8250
2089,3118,2021-08-03 09:08:49.303894,"{'2021-08-05': ['17', '18']}",0,,8251
2090,3027,2021-07-16 07:51:42.815495,"{'2021-07-20': ['20', '21']}",0,,8254
2090,3056,2021-07-24 07:09:03.800433,"{'2021-07-27': ['13', '16']}",0,,8253
2090,3090,2021-08-15 13:20:15.504169,"{'2021-08-17': ['13', '16']}",0,,8255
2091,3043,2021-07-06 02:49:58.292083,"{'2021-07-11': ['16', '17']}",0,,8257
2091,3140,2021-08-13 09:50:04.554847,"{'2021-08-19': ['13', '14']}",0,,8256
2092,3151,2021-07-25 00:36:30.035886,"{'2021-07-26': ['14', '16']}",0,,8258
2092,3044,2021-08-02 02:18:27.668861,"{'2021-08-03': ['16', '18']}",0,,8259
2093,3064,2021-07-19 02:10:50.521319,"{'2021-07-24': ['11', '14']}",0,,8260
2093,3040,2021-08-04 06:24:21.883415,"{'2021-08-08': ['14', '17']}",0,,8261
2094,3041,2021-07-02 00:06:29.194021,"{'2021-07-09': ['12', '15']}",0,,8263
2094,3086,2021-07-07 07:25:37.683930,"{'2021-07-08': ['18', '20']}",0,,8264
2094,3145,2021-07-30 16:41:20.945367,"{'2021-08-03': ['13', '14']}",0,,8262
2095,3061,2021-07-11 01:14:59.375307,"{'2021-07-17': ['15', '18']}",0,,8268
2095,3033,2021-07-15 06:23:55.583399,"{'2021-07-21': ['15', '18']}",0,,8265
2095,3078,2021-07-19 17:29:22.881007,"{'2021-07-26': ['15', '16']}",0,,8266
2095,3107,2021-07-20 21:11:15.684413,"{'2021-07-25': ['12', '13']}",0,,8269
2095,3054,2021-08-17 18:14:29.630299,"{'2021-08-22': ['14', '15']}",0,,8267
2096,3105,2021-07-01 11:50:52.726469,"{'2021-07-07': ['19', '22']}",0,,8271
2096,3154,2021-07-11 16:07:23.710446,"{'2021-07-18': ['17', '18']}",0,,8274
2096,3010,2021-07-11 18:16:09.886770,"{'2021-07-15': ['9', '12']}",0,,8272
2096,3087,2021-07-23 00:52:30.426240,"{'2021-07-26': ['14', '16']}",0,,8273
2096,3078,2021-08-08 04:27:44.960821,"{'2021-08-12': ['18', '20']}",0,,8270
2097,3101,2021-07-04 00:48:48.669002,"{'2021-07-10': ['22', '23']}",0,,8276
2097,3020,2021-07-10 14:45:53.270576,"{'2021-07-12': ['18', '19']}",0,,8278
2097,3052,2021-07-15 09:08:48.158282,"{'2021-07-19': ['10', '12']}",0,,8275
2097,3052,2021-07-21 02:22:55.915747,"{'2021-07-24': ['12', '13']}",0,,8277
2097,3010,2021-08-05 07:58:19.467124,"{'2021-08-12': ['16', '19']}",0,,8279
2098,3150,2021-07-08 11:18:41.078877,"{'2021-07-11': ['15', '17']}",0,,8282
2098,3026,2021-07-14 22:27:17.710061,"{'2021-07-19': ['17', '20']}",0,,8280
2098,3035,2021-08-16 18:27:22.414839,"{'2021-08-22': ['11', '13']}",0,,8281
2099,3137,2021-07-25 15:15:19.518316,"{'2021-07-30': ['17', '20']}",0,,8283
2100,3137,2021-07-27 02:10:06.877826,"{'2021-07-31': ['10', '12']}",0,,8285
2100,3084,2021-08-07 19:59:14.517079,"{'2021-08-10': ['11', '12']}",0,,8284
2100,3121,2021-08-08 12:45:46.295629,"{'2021-08-13': ['16', '19']}",0,,8286
2101,3100,2021-07-10 00:26:03.075755,"{'2021-07-17': ['19', '22']}",0,,8289
2101,3052,2021-07-24 04:37:16.667835,"{'2021-07-31': ['13', '14']}",0,,8290
2101,3095,2021-07-24 22:49:06.339975,"{'2021-07-30': ['21', '22']}",0,,8288
2101,3051,2021-08-15 08:19:52.520960,"{'2021-08-18': ['14', '17']}",0,,8287
2102,3091,2021-07-14 21:13:56.584179,"{'2021-07-15': ['14', '17']}",0,,8293
2102,3061,2021-07-24 06:31:05.788261,"{'2021-07-30': ['19', '20']}",0,,8295
2102,3069,2021-07-27 03:32:32.457059,"{'2021-07-28': ['10', '11']}",0,,8294
2102,3046,2021-08-08 12:42:14.395423,"{'2021-08-15': ['17', '19']}",0,,8291
2102,3015,2021-08-11 14:31:47.117120,"{'2021-08-16': ['16', '18']}",0,,8292
